condition,intervention,parameter,entropy,confidence,problem_idx
Baseline,none,0.0,1.2323091,0.7815947,0
Baseline,none,0.0,4.415698,0.22783321,1
Baseline,none,0.0,2.2004864,0.62467796,2
Baseline,none,0.0,0.9691725,0.8411668,3
Baseline,none,0.0,2.388167,0.58621025,4
Baseline,none,0.0,1.3874822,0.761808,5
Baseline,none,0.0,2.3491669,0.58824736,6
Baseline,none,0.0,2.743836,0.43473637,7
Baseline,none,0.0,2.9664826,0.38679,8
Baseline,none,0.0,3.5242195,0.34084713,9
Baseline,none,0.0,1.2692391,0.7991033,10
Baseline,none,0.0,2.0139048,0.6302966,11
Baseline,none,0.0,3.2460465,0.46214932,12
Baseline,none,0.0,1.0838878,0.8206426,13
Baseline,none,0.0,2.019596,0.6307979,14
Baseline,none,0.0,3.3529701,0.41735443,15
Baseline,none,0.0,2.8566515,0.5009997,16
Baseline,none,0.0,2.4764106,0.52572197,17
Baseline,none,0.0,2.4934626,0.58861166,18
Baseline,none,0.0,2.9952826,0.43069115,19
PCA-384,pca,384.0,2.7438893,0.46189216,0
PCA-384,pca,384.0,4.1733465,0.2711025,1
PCA-384,pca,384.0,3.4010103,0.3842115,2
PCA-384,pca,384.0,3.1747718,0.41637298,3
PCA-384,pca,384.0,3.418564,0.4161661,4
PCA-384,pca,384.0,2.447849,0.5504318,5
PCA-384,pca,384.0,3.5344362,0.3668456,6
PCA-384,pca,384.0,3.0152879,0.39071953,7
PCA-384,pca,384.0,3.075725,0.3724145,8
PCA-384,pca,384.0,3.4512467,0.372354,9
PCA-384,pca,384.0,2.5267088,0.57540023,10
PCA-384,pca,384.0,3.3375626,0.43135062,11
PCA-384,pca,384.0,3.6155214,0.4044937,12
PCA-384,pca,384.0,2.4461436,0.5665863,13
PCA-384,pca,384.0,3.076935,0.46026608,14
PCA-384,pca,384.0,4.088467,0.27073592,15
PCA-384,pca,384.0,3.5896566,0.36428678,16
PCA-384,pca,384.0,3.6988559,0.29320297,17
PCA-384,pca,384.0,3.363178,0.4249002,18
PCA-384,pca,384.0,3.1330178,0.42527497,19
PCA-192,pca,192.0,3.7420075,0.34625143,0
PCA-192,pca,192.0,3.730166,0.346033,1
PCA-192,pca,192.0,3.7501194,0.31009138,2
PCA-192,pca,192.0,3.5982754,0.32592723,3
PCA-192,pca,192.0,2.9033334,0.49006698,4
PCA-192,pca,192.0,3.3802507,0.3824294,5
PCA-192,pca,192.0,3.5471442,0.3662423,6
PCA-192,pca,192.0,3.2790437,0.35563067,7
PCA-192,pca,192.0,3.1023421,0.37521568,8
PCA-192,pca,192.0,3.6965916,0.31602556,9
PCA-192,pca,192.0,2.7949095,0.519665,10
PCA-192,pca,192.0,3.3305125,0.43614498,11
PCA-192,pca,192.0,3.6224487,0.3645174,12
PCA-192,pca,192.0,2.5963633,0.5293756,13
PCA-192,pca,192.0,3.154716,0.45247412,14
PCA-192,pca,192.0,3.6449442,0.35646707,15
PCA-192,pca,192.0,3.9498677,0.29065245,16
PCA-192,pca,192.0,3.835254,0.3198397,17
PCA-192,pca,192.0,3.497854,0.3792298,18
PCA-192,pca,192.0,3.5973666,0.30856544,19
PCA-96,pca,96.0,3.5907168,0.31417686,0
PCA-96,pca,96.0,3.3085825,0.39625815,1
PCA-96,pca,96.0,3.53367,0.36967924,2
PCA-96,pca,96.0,3.3717868,0.38581237,3
PCA-96,pca,96.0,3.423867,0.37270293,4
PCA-96,pca,96.0,3.4234362,0.40113926,5
PCA-96,pca,96.0,4.075437,0.28253335,6
PCA-96,pca,96.0,3.431973,0.39181355,7
PCA-96,pca,96.0,3.837657,0.3045073,8
PCA-96,pca,96.0,3.4751887,0.35403934,9
PCA-96,pca,96.0,3.4185565,0.4107386,10
PCA-96,pca,96.0,4.8693953,0.20539741,11
PCA-96,pca,96.0,3.6467216,0.3597454,12
PCA-96,pca,96.0,3.2449212,0.37206018,13
PCA-96,pca,96.0,3.3655353,0.4262039,14
PCA-96,pca,96.0,3.967623,0.30582917,15
PCA-96,pca,96.0,4.0543437,0.3093438,16
PCA-96,pca,96.0,3.7002013,0.3399218,17
PCA-96,pca,96.0,3.376479,0.3659023,18
PCA-96,pca,96.0,3.9111416,0.26642525,19
Noise-0.01,noise,0.01,1.2314243,0.78182113,0
Noise-0.01,noise,0.01,4.416421,0.22775152,1
Noise-0.01,noise,0.01,2.200419,0.6247332,2
Noise-0.01,noise,0.01,0.9678563,0.84140944,3
Noise-0.01,noise,0.01,2.3875341,0.58642405,4
Noise-0.01,noise,0.01,1.3853478,0.7623402,5
Noise-0.01,noise,0.01,2.6258428,0.5389265,6
Noise-0.01,noise,0.01,2.7429335,0.43498114,7
Noise-0.01,noise,0.01,2.9664297,0.38678187,8
Noise-0.01,noise,0.01,3.5242107,0.3408866,9
Noise-0.01,noise,0.01,1.2683969,0.7992369,10
Noise-0.01,noise,0.01,2.013709,0.63042665,11
Noise-0.01,noise,0.01,3.2450614,0.4623208,12
Noise-0.01,noise,0.01,1.08263,0.820913,13
Noise-0.01,noise,0.01,2.0182307,0.63103765,14
Noise-0.01,noise,0.01,3.3524096,0.41745365,15
Noise-0.01,noise,0.01,2.8563795,0.501062,16
Noise-0.01,noise,0.01,2.4741948,0.5261784,17
Noise-0.01,noise,0.01,2.492658,0.58886945,18
Noise-0.01,noise,0.01,2.996602,0.4303263,19
Noise-0.05,noise,0.05,1.2281759,0.782673,0
Noise-0.05,noise,0.05,2.7078006,0.51301014,1
Noise-0.05,noise,0.05,2.2002954,0.6249381,2
Noise-0.05,noise,0.05,0.9628461,0.84233594,3
Noise-0.05,noise,0.05,2.3852153,0.58724225,4
Noise-0.05,noise,0.05,1.3771363,0.76439595,5
Noise-0.05,noise,0.05,2.629868,0.53858894,6
Noise-0.05,noise,0.05,2.739441,0.43593597,7
Noise-0.05,noise,0.05,2.9663508,0.38672984,8
Noise-0.05,noise,0.05,3.524298,0.3410361,9
Noise-0.05,noise,0.05,1.2652671,0.79973626,10
Noise-0.05,noise,0.05,2.0132067,0.6309022,11
Noise-0.05,noise,0.05,3.241384,0.46297503,12
Noise-0.05,noise,0.05,1.0781273,0.8219057,13
Noise-0.05,noise,0.05,2.0132985,0.6319215,14
Noise-0.05,noise,0.05,3.350306,0.4178289,15
Noise-0.05,noise,0.05,2.8554208,0.5012852,16
Noise-0.05,noise,0.05,2.465556,0.52796495,17
Noise-0.05,noise,0.05,2.4898202,0.58981925,18
Noise-0.05,noise,0.05,3.0019097,0.4288702,19
Noise-0.1,noise,0.1,1.2247663,0.78361607,0
Noise-0.1,noise,0.1,2.7099266,0.51347744,1
Noise-0.1,noise,0.1,2.2005029,0.62514937,2
Noise-0.1,noise,0.1,0.95718676,0.8433918,3
Noise-0.1,noise,0.1,2.3827863,0.58818334,4
Noise-0.1,noise,0.1,1.3676431,0.76679534,5
Noise-0.1,noise,0.1,2.6354163,0.53807425,6
Noise-0.1,noise,0.1,2.7353609,0.43707138,7
Noise-0.1,noise,0.1,2.96656,0.38661912,8
Noise-0.1,noise,0.1,3.5246646,0.34121007,9
Noise-0.1,noise,0.1,1.2618765,0.8002872,10
Noise-0.1,noise,0.1,2.0131986,0.63139623,11
Noise-0.1,noise,0.1,3.2373962,0.4637176,12
Noise-0.1,noise,0.1,1.0736333,0.8229625,13
Noise-0.1,noise,0.1,2.0083175,0.63285613,14
Noise-0.1,noise,0.1,3.347976,0.41824785,15
Noise-0.1,noise,0.1,2.8545492,0.5015028,16
Noise-0.1,noise,0.1,2.4552271,0.53011096,17
Noise-0.1,noise,0.1,2.4871535,0.5908244,18
Noise-0.1,noise,0.1,3.0086207,0.42705885,19
